FOLIO,SEXO_ENCUESTADO,EDAD_ENCUESTADO,P1_5,P2_4,P2_5,P2_6_SUMA_SEMANALES_EST,P2_8,P2_10_F,P2_10_G,P2_13,P3_16,P3_17,P5_2_A_1,P5_2_B_1,P5_2_C_1,P5_2_D_1,P5_2_E_1,P5_3_A,P5_3_B,P5_3_C,P5_3_D,P5_3_E,P6_1_A,P6_1_B,P6_1_C,P6_1_D,P6_2,P6_3_HORAS,P6_3_MIN,P6_4,P6_5_HORAS,P6_5_MIN,P6_6,P6_7_HORAS,P6_7_MIN,P6_8_HORAS,P6_8_MIN,P6_12,P6_13,P6_14,P6_16,P6_18,P6_30_A_1,P6_30_A_2,P6_30_B_1,P6_30_B_2,P6_30_C_1,P6_30_C_2,P6_30_D_1,P6_30_D_2,P6_30_E_1,P6_30_E_2,P6_30_F_1,P6_30_F_2,P6_30_G_1,P6_30_G_2,P6_30_H_1,P6_30_H_2,O6_3,O6_5,O6_7,O6_8
3860.0,H,45,4,1,1,42,2,5,5,3,2,7,0,0,0,0,0,1,1,0,0,0,4,4,4,4,0.0,0,0,0,0,0,7,3.0,0.0,3.0,0.0,0,0,4,4,4,5,1,1,1,3,2,1,1,7,1,7,1,7,2,2,1,0.0,0.0,21.0,21.0
3861.0,M,25,10,1,4,40,0,5,5,1,2,8,0,0,0,0,0,0,0,0,0,0,4,4,4,2,0.0,0,0,3,2,0,7,1.0,0.0,,,0,0,2,2,2,6,2,1,1,6,2,1,1,3,2,0,0,5,1,6,4,0.0,6.0,7.0,28.0
3862.0,H,32,10,9,9,0,0,9,9,9,2,7,0,0,0,0,0,0,0,0,0,0,4,4,4,2,0.0,0,0,0,0,0,3,1.0,15.0,,,0,0,4,1,0,6,2,1,1,6,2,1,1,4,2,0,0,5,1,7,3,0.0,0.0,3.75,21.0
3863.0,M,34,10,1,4,70,0,5,5,3,2,7,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,7,0.0,30.0,,,0,0,1,1,0,2,1,2,1,1,1,0,0,4,1,0,0,7,1,7,3,0.0,0.0,3.5,28.0
3864.0,M,59,10,9,9,0,0,9,9,9,2,8,0,0,0,0,0,0,0,0,0,0,4,4,4,2,0.0,0,0,0,0,0,4,0.0,30.0,2.0,0.0,0,0,4,1,0,5,2,1,1,5,2,1,1,3,2,1,2,4,2,5,3,0.0,0.0,2.0,14.0
3865.0,H,70,10,9,9,0,0,9,9,9,2,9,1,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,2,2.0,0.0,5.0,0.0,0,0,4,1,0,5,2,1,2,6,2,0,0,2,1,3,3,6,2,7,4,0.0,0.0,4.0,35.0
3866.0,M,69,10,9,9,0,0,9,9,9,2,7,1,1,0,0,0,0,0,0,0,0,3,4,3,4,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0,0,4,1,0,5,2,1,2,5,2,1,2,4,1,1,1,5,2,4,3,0.0,0.0,0.0,21.0
3867.0,M,63,10,9,9,0,0,9,9,9,2,8,1,0,0,0,1,1,0,0,0,0,4,4,2,3,0.0,0,0,0,0,0,4,1.0,0.0,,,0,0,2,1,0,4,2,1,1,5,2,0,0,2,1,0,0,5,1,7,4,0.0,0.0,4.0,28.0
3868.0,M,27,10,9,9,0,0,9,9,9,1,8,0,0,0,0,0,0,0,0,0,0,4,4,2,2,0.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,0,0,1,2,3,2,1,2,1,1,3,1,1,1,1,0,0,7,2,7,4,0.0,0.0,0.0,21.0
3869.0,M,34,10,9,9,0,0,9,9,9,2,8,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0.0,0,0,0,0,0,4,0.0,0.0,,,0,0,1,1,0,5,1,1,1,4,1,1,1,7,2,2,1,7,2,7,3,0.0,0.0,0.0,21.0
3870.0,M,41,10,9,9,0,0,9,9,9,2,8,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4.0,1,0,4,1,0,4,1.0,0.0,3.0,0.0,0,0,4,2,1,7,2,1,1,2,1,1,1,7,3,2,3,7,1,0,0,4.0,4.0,4.0,21.0
3871.0,H,26,10,1,1,40,2,4,4,3,1,7,0,0,0,0,0,0,0,0,0,0,1,4,4,2,0.0,0,0,0,0,0,0,0.0,0.0,4.0,0.0,0,0,4,1,0,5,2,1,1,5,3,2,1,7,1,7,4,5,2,7,3,0.0,0.0,0.0,28.0
3872.0,H,67,10,1,1,90,0,5,5,3,2,8,1,0,0,0,0,1,0,0,0,0,2,4,4,4,0.0,0,0,0,0,0,1,1.0,0.0,2.0,0.0,1,1,3,3,2,3,2,1,1,7,2,6,2,4,1,0,0,7,1,0,0,0.0,0.0,1.0,14.0
3873.0,H,72,10,1,1,42,2,5,5,1,2,7,1,1,0,0,0,0,0,0,0,0,4,4,4,2,0.0,0,0,0,0,0,3,1.0,0.0,2.0,0.0,1,0,1,2,3,4,2,2,2,2,3,1,2,7,3,0,0,7,1,7,3,0.0,0.0,3.0,14.0
3874.0,H,46,10,1,1,40,0,5,5,2,2,7,0,0,0,0,0,0,0,0,0,0,4,4,2,4,3.0,3,18,1,1,0,3,2.0,12.0,3.0,0.0,1,0,1,3,2,7,2,1,1,3,1,1,0,7,3,5,4,7,4,7,4,9.9,1.0,6.6000000000000005,21.0
3875.0,M,29,4,9,9,0,0,9,9,9,2,7,0,0,0,0,0,1,1,0,0,0,4,4,4,4,0.0,0,0,0,0,0,7,1.0,0.0,1.0,30.0,0,0,4,1,0,7,1,1,1,1,1,1,1,5,1,0,0,2,1,7,5,0.0,0.0,7.0,10.5
3876.0,M,23,4,1,1,35,0,5,5,1,1,8,0,0,0,0,0,0,0,0,0,0,2,4,4,4,0.0,0,0,2,3,0,2,,,2.0,0.0,0,0,4,1,0,7,3,1,2,7,7,2,2,7,3,7,4,7,3,0,0,0.0,6.0,2.178,14.0
3877.0,H,66,10,1,1,48,0,5,5,3,1,8,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,4,0.0,0.0,2.0,0.0,0,0,4,1,0,7,2,1,2,7,4,1,2,7,2,3,2,7,3,2,1,0.0,0.0,0.0,14.0
3878.0,M,36,10,1,1,48,0,5,5,3,2,10,0,0,0,0,0,0,0,0,0,0,4,4,4,1,0.0,0,0,0,0,0,3,0.0,15.0,5.0,0.0,0,0,3,1,0,3,2,0,0,3,2,1,1,5,1,5,2,7,2,7,6,0.0,0.0,0.75,35.0
