FOLIO,SEXO_ENCUESTADO,EDAD_ENCUESTADO,P1_5,P2_4,P2_5,P2_6_SUMA_SEMANALES_EST,P2_8,P2_10_F,P2_10_G,P2_13,P3_16,P3_17,P5_2_A_1,P5_2_B_1,P5_2_C_1,P5_2_D_1,P5_2_E_1,P5_3_A,P5_3_B,P5_3_C,P5_3_D,P5_3_E,P6_1_A,P6_1_B,P6_1_C,P6_1_D,P6_2,P6_3_HORAS,P6_3_MIN,P6_4,P6_5_HORAS,P6_5_MIN,P6_6,P6_7_HORAS,P6_7_MIN,P6_8_HORAS,P6_8_MIN,P6_12,P6_13,P6_14,P6_16,P6_18,P6_30_A_1,P6_30_A_2,P6_30_B_1,P6_30_B_2,P6_30_C_1,P6_30_C_2,P6_30_D_1,P6_30_D_2,P6_30_E_1,P6_30_E_2,P6_30_F_1,P6_30_F_2,P6_30_G_1,P6_30_G_2,P6_30_H_1,P6_30_H_2,O6_3,O6_5,O6_7,O6_8
4112.0,H,79,10,9,9,0,0,9,9,9,2,9,1,0,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,4,0.0,45.0,4.0,0.0,0,0,4,1,0,3,1,2,1,3,1,1,1,3,2,0,0,7,2,7,4,0.0,0.0,3.0,28.0
4113.0,H,18,10,9,9,0,0,9,9,9,2,9,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1.0,0,30,3,0,20,5,0.0,10.0,5.0,0.0,0,0,4,1,0,7,1,1,1,7,1,1,1,3,1,5,1,7,2,7,4,0.5,1.0,0.8333333333333333,35.0
4114.0,M,28,10,1,1,32,0,5,5,3,2,9,0,0,0,0,0,0,0,0,0,0,4,4,4,1,5.0,0,30,5,0,40,5,0.0,15.0,4.0,0.0,0,0,1,1,0,5,1,1,1,5,2,1,1,5,2,5,2,7,2,7,6,2.5,3.333333333333333,1.25,28.0
4115.0,M,51,10,1,1,40,0,5,5,3,2,9,0,0,0,1,0,0,0,0,0,0,4,4,4,4,5.0,0,30,5,0,15,5,0.0,10.0,3.0,0.0,0,0,3,1,0,5,1,1,1,5,2,1,1,3,2,0,0,7,2,7,5,2.5,1.25,0.8333333333333333,21.0
4116.0,M,50,10,1,1,32,0,5,5,3,2,9,1,0,0,0,0,0,0,0,0,0,4,4,4,4,3.0,0,20,4,0,15,5,0.0,10.0,3.0,0.0,0,0,3,1,0,3,2,1,1,1,1,3,2,3,1,5,2,7,2,7,6,1.0,1.0,0.8333333333333333,21.0
4117.0,M,72,10,9,9,0,0,9,9,9,2,7,1,1,1,0,0,1,1,0,0,0,4,4,4,4,0.0,0,0,0,0,0,3,1.0,0.0,4.0,0.0,0,0,4,1,0,5,1,1,1,7,1,2,1,7,1,4,1,7,2,7,2,0.0,0.0,3.0,28.0
4118.0,H,53,10,1,5,42,2,5,5,3,1,7,0,0,0,0,0,0,0,0,0,0,4,4,1,4,0.0,0,0,0,0,0,7,1.0,0.0,3.0,0.0,0,0,2,3,3,6,1,1,1,6,1,1,1,7,1,7,2,7,3,7,2,0.0,0.0,7.0,21.0
4119.0,M,75,10,9,9,0,0,9,9,9,2,6,1,1,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,3,0.0,30.0,4.0,0.0,0,0,2,1,0,7,1,1,1,7,1,1,1,7,1,3,1,7,2,7,2,0.0,0.0,1.5,28.0
4120.0,H,47,10,1,1,35,2,5,5,3,1,7,0,0,0,0,0,0,0,0,0,0,4,4,1,4,0.0,0,0,0,0,0,3,1.0,0.0,3.0,0.0,0,0,1,2,3,4,1,7,1,4,1,6,1,1,1,7,3,7,3,7,1,0.0,0.0,3.0,21.0
4121.0,M,68,10,9,9,0,0,9,9,9,1,7,1,1,0,0,0,0,0,0,0,0,4,4,4,4,0.0,0,0,0,0,0,7,1.0,0.0,3.0,0.0,0,0,4,1,0,3,1,1,1,7,1,1,1,7,1,4,1,7,2,7,2,0.0,0.0,7.0,21.0
4122.0,M,49,10,1,1,40,1,4,4,3,2,6,1,0,0,0,1,1,1,0,0,0,4,4,4,4,2.0,0,30,2,1,0,6,0.0,30.0,5.0,0.0,0,0,4,1,0,7,1,2,2,5,1,2,2,3,1,2,1,7,2,6,2,1.0,2.0,3.0,35.0
4123.0,M,56,10,9,9,0,0,9,9,9,5,5,1,1,1,1,1,0,0,0,0,1,4,4,4,4,0.0,0,0,0,0,0,7,0.0,20.0,5.0,0.0,0,0,4,2,2,7,1,2,2,6,2,3,2,3,1,0,0,7,1,6,2,0.0,0.0,2.333333333333333,35.0
4124.0,M,42,10,1,1,48,1,4,4,3,2,7,1,0,0,0,1,0,0,0,0,0,4,4,4,4,2.0,1,0,2,1,0,7,0.0,30.0,4.0,0.0,0,0,4,1,0,6,1,2,2,4,1,3,2,5,2,3,2,7,2,6,2,2.0,2.0,3.5,28.0
